# Oscilloscope file ./20201025_013827.bin
# Channel 2
Time / s;Voltage / V
0;0.004
0.25;0.012
0.5;-0.004
0.75;0.004
1;0.004
1.25;0.012
1.5;-0.002
1.75;0.002
2;0.002
2.25;0.012
2.5;-0.006
2.75;0.004
3;0.004
3.25;0.012
3.5;-0.004
3.75;0.002
4;0.004
4.25;0.012
4.5;-0.002
4.75;0.004
5;0
5.25;0.014
5.5;-0.004
5.75;0.006
6;0.002
6.25;0.01
6.5;-0.004
6.75;0.002
7;0.002
7.25;0.01
7.5;-0.002
7.75;0.002
8;0.004
8.25;0.012
8.5;-0.006
8.75;0.004
9;0.002
9.25;0.01
9.5;-0.004
9.75;0.002
10;0.002
10.25;0.012
10.5;-0.004
10.75;0.002
11;0.004
11.25;0.01
11.5;-0.002
11.75;0.004
12;0.002
12.25;0.01
12.5;-0.002
12.75;0.002
13;0.002
13.25;0.012
13.5;-0.002
13.75;0
14;0
14.25;0.01
14.5;-0.004
14.75;0.004
15;0.002
15.25;0.01
15.5;-0.004
15.75;0.002
16;0
16.25;0.01
16.5;-0.002
16.75;0.002
17;0.002
17.25;0.012
17.5;-0.002
17.75;0
18;0.002
18.25;0.012
18.5;-0.002
18.75;0.002
19;0.002
19.25;0.012
19.5;-0.002
19.75;0.002
20;0.004
20.25;0.012
20.5;-0.002
20.75;0.004
21;0.004
21.25;0.014
21.5;0
21.75;0.004
22;0.002
22.25;0.014
22.5;0
22.75;0.004
23;0.004
23.25;0.014
23.5;0
23.75;0.006
24;0.004
24.25;0.014
24.5;0.002
24.75;0.006
25;0.006
25.25;0.014
25.5;0
25.75;0.006
26;0.006
26.25;0.016
26.5;0.002
26.75;0.008
27;0.006
27.25;0.016
27.5;0.002
27.75;0.008
28;0.008
28.25;0.016
28.5;0.004
28.75;0.006
29;0.008
29.25;0.016
29.5;0.004
29.75;0.014
30;0.008
30.25;0.016
30.5;0.004
30.75;0.008
31;0.006
31.25;0.018
31.5;0.004
31.75;0.01
32;0.012
32.25;0.018
32.5;0.004
32.75;0.01
33;0.01
33.25;0.018
33.5;0.004
33.75;0.012
34;0.01
34.25;0.018
34.5;0.006
34.75;0.012
35;0.012
35.25;0.02
35.5;0.006
35.75;0.012
36;0.01
36.25;0.02
36.5;0.006
36.75;0.012
37;0.014
37.25;0.02
37.5;0.008
37.75;0.012
38;0.012
38.25;0.024
38.5;0.006
38.75;0.014
39;0.01
39.25;0.022
39.5;0.008
39.75;0.014
40;0.016
40.25;0.022
40.5;0.008
40.75;0.016
41;0.016
41.25;0.022
41.5;0.01
41.75;0.016
42;0.016
42.25;0.022
42.5;0.008
42.75;0.014
43;0.016
43.25;0.024
43.5;0.01
43.75;0.016
44;0.016
44.25;0.024
44.5;0.01
44.75;0.016
45;0.018
45.25;0.024
45.5;0.01
45.75;0.016
46;0.022
46.25;0.026
46.5;0.012
46.75;0.018
47;0.018
47.25;0.024
47.5;0.012
47.75;0.018
48;0.018
48.25;0.024
48.5;0.012
48.75;0.018
49;0.02
49.25;0.026
49.5;0.012
49.75;0.018
50;0.018
50.25;0.028
50.5;0.012
50.75;0.018
51;0.018
51.25;0.028
51.5;0.014
51.75;0.02
52;0.02
52.25;0.026
52.5;0.014
52.75;0.018
53;0.02
53.25;0.028
53.5;0.014
53.75;0.022
54;0.02
54.25;0.028
54.5;0.014
54.75;0.022
55;0.02
55.25;0.03
55.5;0.016
55.75;0.022
56;0.022
56.25;0.03
56.5;0.016
56.75;0.024
57;0.022
57.25;0.03
57.5;0.016
57.75;0.022
58;0.022
58.25;0.03
58.5;0.018
58.75;0.024
59;0.024
59.25;0.032
59.5;0.018
59.75;0.024
60;0.024
60.25;0.03
60.5;0.018
60.75;0.024
61;0.024
61.25;0.032
61.5;0.018
61.75;0.024
62;0.026
62.25;0.032
