# Oscilloscope file ./20201025_015212.bin
# Channel 1
Time / s;Voltage / V
0;4.32
0.25;4.2
0.5;4.24
0.75;4.24
1;4.28
1.25;4.2
1.5;4.24
1.75;4.24
2;4.28
2.25;4.2
2.5;4.28
2.75;4.24
3;4.28
3.25;4.2
3.5;4.24
3.75;4.24
4;4.28
4.25;4.2
4.5;4.2
4.75;4.2
5;4.28
5.25;4.2
5.5;4.24
5.75;4.2
6;4.28
6.25;4.16
6.5;4.24
6.75;4.2
7;4.24
7.25;4.16
7.5;4.2
7.75;4.2
8;4.24
8.25;4.16
8.5;4.2
8.75;4.2
9;4.24
9.25;4.16
9.5;4.2
9.75;4.2
10;4.24
10.25;4.16
10.5;4.16
10.75;4.16
11;4.24
11.25;4.12
11.5;4.2
11.75;4.16
12;4.2
12.25;4.12
12.5;4.16
12.75;4.16
13;4.2
13.25;4.12
13.5;4.16
13.75;4.16
14;4.2
14.25;4.12
14.5;4.16
14.75;4.16
15;4.2
15.25;4.12
15.5;4.12
15.75;4.16
16;4.2
16.25;4.12
16.5;4.12
16.75;4.16
17;4.2
17.25;4.08
17.5;4.16
17.75;4.16
18;4.16
18.25;4.08
18.5;4.12
18.75;4.12
19;4.16
19.25;4.08
19.5;4.12
19.75;4.12
20;4.16
20.25;4.08
20.5;4.12
20.75;4.12
21;4.16
21.25;4.08
21.5;4.08
21.75;4.12
22;4.16
22.25;4.04
22.5;4.08
22.75;4.12
23;4.16
23.25;4.04
23.5;4.12
23.75;4.08
24;4.12
24.25;4.04
24.5;4.08
24.75;4.08
25;4.12
25.25;4.04
25.5;4.08
25.75;4.08
26;4.12
26.25;4
26.5;4.08
26.75;4.04
27;4.12
27.25;4.04
27.5;4.08
27.75;4.08
28;4.12
28.25;4
28.5;4.04
28.75;4.08
29;4.08
29.25;4
29.5;4.04
29.75;4.04
30;4.08
30.25;4
30.5;4.04
30.75;4.04
31;4.08
31.25;4
31.5;4
31.75;4.04
32;4.08
32.25;4
32.5;4.04
32.75;4.04
33;4.08
33.25;3.96
