# Oscilloscope file ./20201025_015218.bin
# Channel 2
Time / s;Voltage / V
0;0.01
0.25;-0.004
0.5;0.002
0.75;0.002
1;0.01
1.25;-0.004
1.5;0.002
1.75;0.002
2;0.01
2.25;-0.004
2.5;0.004
2.75;0.002
3;0.008
3.25;-0.004
3.5;0.002
3.75;0.004
4;0.01
4.25;-0.004
4.5;0.002
4.75;0.004
5;0.01
5.25;-0.004
5.5;0.002
5.75;0.002
6;0.01
6.25;-0.004
6.5;0.002
6.75;0.002
7;0.012
7.25;-0.006
7.5;0.002
7.75;0.004
8;0.01
8.25;-0.004
8.5;0.002
8.75;0.004
9;0.01
9.25;-0.004
9.5;0.004
9.75;0.002
10;0.01
10.25;-0.004
10.5;0.004
10.75;0.002
11;0.008
11.25;-0.004
11.5;0.004
11.75;0.004
12;0.01
12.25;-0.006
12.5;0.004
12.75;0.004
13;0.01
13.25;-0.004
13.5;0.002
13.75;-0.002
14;0.01
14.25;-0.006
14.5;0.004
14.75;0.002
15;0.008
15.25;-0.004
15.5;0.002
15.75;0.002
16;0.01
16.25;-0.004
16.5;0.004
16.75;0.002
17;0.01
17.25;-0.006
17.5;-0.002
17.75;0.002
18;0.01
18.25;-0.004
18.5;0.002
18.75;0.004
19;0.01
19.25;-0.004
19.5;0.004
19.75;0.002
20;0.01
20.25;-0.004
20.5;0.004
20.75;0.002
21;0.01
21.25;-0.004
21.5;0.002
21.75;0.004
22;0.01
22.25;-0.004
22.5;0.004
22.75;0.004
23;0.01
23.25;-0.004
23.5;0.002
23.75;0.002
24;0.01
24.25;-0.004
24.5;0
24.75;0.002
25;0.01
25.25;-0.004
25.5;0.006
25.75;0.004
26;0.008
26.25;-0.004
26.5;0.002
26.75;0.004
27;0.01
27.25;-0.004
27.5;0.004
27.75;0.002
28;0.008
28.25;-0.004
28.5;0
28.75;0.002
29;0.008
29.25;-0.004
29.5;0
29.75;0
30;0.01
30.25;-0.004
30.5;0.004
30.75;0.004
31;0.01
31.25;-0.004
31.5;0.006
31.75;0.002
32;0.01
32.25;-0.004
32.5;0.006
32.75;0.004
33;0.008
33.25;-0.004
33.5;0.004
33.75;0.002
34;0.008
34.25;-0.004
34.5;0
34.75;0.004
35;0.008
35.25;-0.004
35.5;0.004
35.75;0.002
36;0.01
36.25;-0.006
36.5;0.004
36.75;0.002
37;0.01
37.25;-0.006
37.5;0.004
37.75;0.004
38;0.01
38.25;-0.006
38.5;0.002
38.75;0.006
39;0.01
39.25;-0.004
39.5;0.004
39.75;0.006
40;0.01
40.25;-0.004
40.5;0.004
40.75;0.002
41;0.01
41.25;-0.006
41.5;0.002
41.75;0.002
42;0.01
42.25;-0.004
42.5;0.004
42.75;0.004
43;0.01
43.25;-0.004
43.5;0.002
43.75;0.004
44;0.01
44.25;-0.004
44.5;0.002
44.75;0
45;0.008
45.25;-0.004
45.5;0.006
45.75;0.004
46;0.01
46.25;-0.004
46.5;0.004
46.75;0.006
47;0.01
47.25;-0.004
47.5;0.004
47.75;0.004
48;0.01
48.25;-0.004
48.5;0.004
48.75;0.004
49;0.01
49.25;-0.004
49.5;0.004
49.75;0.004
50;0.008
50.25;-0.004
50.5;0.004
50.75;0.004
51;0.01
51.25;-0.004
51.5;0.004
51.75;0.002
52;0.01
52.25;-0.004
52.5;0.004
52.75;0.004
53;0.01
53.25;-0.004
53.5;0.002
53.75;0.004
54;0.008
54.25;-0.004
54.5;0.002
54.75;0.002
55;0.01
55.25;-0.004
55.5;0.004
55.75;0.004
56;0.01
56.25;-0.004
