# Oscilloscope file ./ramp1up.bin
# Channel 1
Time / s;Voltage / V
0;3.92
0.25;3.8
0.5;3.84
0.75;3.84
1;3.88
1.25;3.8
1.5;3.84
1.75;3.84
2;3.88
2.25;3.8
2.5;3.84
2.75;3.84
3;3.88
3.25;3.8
3.5;3.84
3.75;3.84
4;3.88
4.25;3.8
4.5;3.84
4.75;3.84
5;3.88
5.25;3.8
5.5;3.8
5.75;3.8
6;3.88
6.25;3.76
6.5;3.8
6.75;3.8
7;3.84
7.25;3.76
7.5;3.8
7.75;3.8
8;3.84
8.25;3.76
8.5;3.8
8.75;3.8
9;3.84
9.25;3.76
9.5;3.8
9.75;3.8
10;3.84
10.25;3.76
10.5;3.76
10.75;3.8
11;3.84
11.25;3.72
11.5;3.76
11.75;3.76
12;3.84
12.25;3.72
12.5;3.8
12.75;3.76
13;3.8
13.25;3.72
13.5;3.76
13.75;3.76
14;3.8
14.25;3.72
14.5;3.76
14.75;3.76
15;3.8
15.25;3.72
15.5;3.76
15.75;3.76
16;3.8
16.25;3.72
16.5;3.76
16.75;3.72
17;3.8
17.25;3.68
17.5;3.76
17.75;3.72
18;3.76
18.25;3.68
18.5;3.76
18.75;3.76
19;3.76
19.25;3.68
19.5;3.72
19.75;3.72
20;3.76
20.25;3.68
20.5;3.68
20.75;3.72
21;3.76
21.25;3.68
21.5;3.72
21.75;3.72
22;3.76
22.25;3.68
22.5;3.68
22.75;3.68
23;3.76
23.25;3.64
23.5;3.68
23.75;3.72
24;3.76
24.25;3.64
24.5;3.72
24.75;3.68
25;3.72
25.25;3.64
25.5;3.68
25.75;3.68
26;3.72
26.25;3.64
26.5;3.68
26.75;3.68
27;3.72
27.25;3.64
27.5;3.68
27.75;3.64
28;3.72
28.25;3.6
28.5;3.68
28.75;3.64
29;3.72
29.25;3.6
29.5;3.64
29.75;3.64
30;3.68
30.25;3.6
30.5;3.64
30.75;3.6
31;3.68
31.25;3.6
31.5;3.64
31.75;3.64
32;3.68
32.25;3.6
32.5;3.64
32.75;3.64
33;3.68
33.25;3.6
33.5;3.64
33.75;3.64
34;3.68
34.25;3.56
34.5;3.6
34.75;3.6
35;3.68
35.25;3.56
35.5;3.64
35.75;3.64
36;3.64
36.25;3.56
36.5;3.56
36.75;3.6
37;3.64
37.25;3.56
37.5;3.6
37.75;3.56
38;3.64
38.25;3.56
38.5;3.56
38.75;3.6
39;3.64
39.25;3.52
39.5;3.56
39.75;3.56
40;3.6
40.25;3.52
40.5;3.56
40.75;3.56
41;3.6
41.25;3.52
41.5;3.56
41.75;3.56
42;3.6
42.25;3.52
42.5;3.56
42.75;3.56
43;3.6
43.25;3.52
43.5;3.52
43.75;3.56
44;3.6
44.25;3.52
44.5;3.56
44.75;3.56
45;3.6
45.25;3.48
45.5;3.52
45.75;3.52
46;3.6
46.25;3.48
46.5;3.52
46.75;3.52
47;3.56
47.25;3.48
47.5;3.52
47.75;3.52
48;3.56
48.25;3.48
48.5;3.52
48.75;3.52
49;3.56
49.25;3.48
49.5;3.52
49.75;3.52
50;3.56
50.25;3.44
50.5;3.48
50.75;3.48
51;3.52
51.25;3.44
51.5;3.48
51.75;3.48
52;3.52
52.25;3.44
52.5;3.48
52.75;3.48
53;3.52
53.25;3.44
53.5;3.48
53.75;3.48
54;3.52
54.25;3.44
54.5;3.48
54.75;3.48
55;3.52
55.25;3.44
55.5;3.48
55.75;3.44
56;3.52
56.25;3.4
56.5;3.48
56.75;3.44
57;3.48
57.25;3.4
57.5;3.44
57.75;3.44
58;3.48
58.25;3.4
58.5;3.44
58.75;3.44
59;3.48
59.25;3.4
59.5;3.44
59.75;3.44
60;3.48
60.25;3.4
60.5;3.44
60.75;3.44
61;3.48
61.25;3.36
61.5;3.44
61.75;3.44
62;3.44
62.25;3.36
62.5;3.4
62.75;3.4
63;3.44
63.25;3.36
63.5;3.4
63.75;3.4
64;3.44
64.25;3.36
64.5;3.4
64.75;3.4
65;3.44
65.25;3.36
65.5;3.4
65.75;3.36
66;3.44
66.25;3.32
66.5;3.4
66.75;3.4
67;3.44
67.25;3.32
67.5;3.36
67.75;3.36
68;3.44
68.25;3.32
68.5;3.36
68.75;3.36
69;3.4
69.25;3.16
69.5;3.36
69.75;3.4
70;3.4
70.25;3.32
70.5;3.36
70.75;3.36
71;3.4
71.25;3.32
71.5;3.36
71.75;3.36
72;3.4
72.25;3.32
72.5;3.32
72.75;3.32
73;3.4
73.25;3.28
73.5;3.36
73.75;3.32
74;3.36
74.25;3.28
74.5;3.32
74.75;3.32
75;3.36
75.25;3.28
75.5;3.32
75.75;3.32
76;3.36
76.25;3.28
76.5;3.32
76.75;3.32
77;3.36
77.25;3.28
77.5;3.32
77.75;3.32
78;3.36
78.25;3.24
78.5;3.28
78.75;3.32
79;3.36
79.25;3.24
79.5;3.28
79.75;3.32
80;3.32
80.25;3.24
80.5;3.28
80.75;3.32
81;3.32
81.25;3.24
81.5;3.28
81.75;3.28
82;3.32
82.25;3.24
82.5;3.28
82.75;3.28
83;3.32
83.25;3.24
83.5;3.28
83.75;3.24
84;3.32
84.25;3.2
84.5;3.28
84.75;3.24
85;3.28
85.25;3.2
85.5;3.24
85.75;3.24
86;3.28
86.25;3.2
86.5;3.24
86.75;3.24
87;3.28
87.25;3.2
87.5;3.24
87.75;3.2
88;3.28
88.25;3.2
88.5;3.24
88.75;3.24
89;3.28
89.25;3.16
89.5;3.2
89.75;3.24
90;3.28
90.25;3.16
90.5;3.24
90.75;3.2
91;3.24
91.25;3.16
91.5;3.2
91.75;3.2
92;3.24
92.25;3.16
92.5;3.2
92.75;3.2
93;3.24
93.25;3.16
93.5;3.2
93.75;3.2
94;3.24
94.25;3.16
94.5;3.2
94.75;3.2
95;3.24
95.25;3.12
95.5;3.16
95.75;3.16
96;3.24
96.25;3.12
96.5;3.16
96.75;3.16
97;3.2
97.25;3.12
97.5;3.16
97.75;3.16
98;3.2
98.25;3.12
98.5;3.16
98.75;3.16
99;3.2
99.25;3.12
99.5;3.16
99.75;3.16
100;3.2
100.25;3.08
100.5;3.12
100.75;3.12
101;3.16
101.25;3.08
101.5;3.16
101.75;3.12
102;3.2
102.25;3.08
102.5;3.12
102.75;3.12
103;3.16
103.25;3.08
103.5;3.12
103.75;3.12
104;3.16
104.25;3.04
104.5;3.12
104.75;3.12
105;3.16
105.25;3.08
105.5;3.12
105.75;3.08
106;3.16
106.25;3.04
106.5;3.08
106.75;3.12
107;3.16
107.25;3.04
107.5;3.12
107.75;3.08
108;3.12
108.25;3.04
108.5;3.08
108.75;3.08
109;3.12
109.25;3.04
109.5;3.04
109.75;3.04
110;3.12
110.25;3.04
110.5;3.08
110.75;3.08
111;3.12
111.25;3.04
111.5;3.04
111.75;3.08
112;3.12
112.25;3
112.5;3.04
112.75;3.04
113;3.08
113.25;3
113.5;3.04
113.75;3.04
114;3.08
114.25;3
114.5;3.04
114.75;3
115;3.08
115.25;3
115.5;3.04
115.75;3.04
116;3.08
116.25;3
116.5;3
116.75;3.04
117;3.08
117.25;2.96
117.5;3.04
117.75;3
118;3.08
118.25;2.96
118.5;3
118.75;3
119;3.04
119.25;2.96
119.5;3.04
119.75;3.04
120;3.04
120.25;2.96
120.5;3
120.75;3
121;3.04
121.25;2.96
121.5;3
121.75;2.96
122;3.04
122.25;2.96
122.5;2.96
122.75;3
123;3.04
123.25;2.92
123.5;2.96
123.75;3
124;3
124.25;2.92
124.5;3
124.75;2.96
125;3
125.25;2.92
125.5;2.96
125.75;2.96
126;3
126.25;2.92
126.5;2.96
126.75;2.96
127;3
127.25;2.92
127.5;2.96
127.75;2.96
128;3
128.25;2.92
128.5;2.92
128.75;2.92
129;2.96
129.25;2.88
129.5;2.96
129.75;2.96
130;2.96
130.25;2.88
130.5;2.92
130.75;2.92
131;2.96
131.25;2.88
131.5;2.92
131.75;2.92
132;2.96
132.25;2.88
132.5;2.92
132.75;2.88
133;2.96
133.25;2.88
133.5;2.88
133.75;2.88
134;2.96
134.25;2.84
134.5;2.88
134.75;2.88
135;2.92
135.25;2.84
135.5;2.88
135.75;2.88
136;2.92
136.25;2.84
136.5;2.88
136.75;2.92
137;2.92
137.25;2.84
137.5;2.88
137.75;2.88
138;2.92
138.25;2.84
138.5;2.84
138.75;2.88
139;2.92
139.25;2.84
139.5;2.84
139.75;2.84
140;2.88
140.25;2.8
140.5;2.84
140.75;2.84
141;2.88
141.25;2.8
141.5;2.84
141.75;2.84
142;2.88
142.25;2.8
142.5;2.84
142.75;2.84
143;2.88
143.25;2.8
143.5;2.84
143.75;2.8
144;2.88
144.25;2.8
144.5;2.84
144.75;2.84
145;2.88
145.25;2.76
145.5;2.8
145.75;2.8
146;2.84
146.25;2.76
146.5;2.8
146.75;2.84
147;2.84
147.25;2.76
147.5;2.8
147.75;2.8
148;2.84
148.25;2.76
148.5;2.8
148.75;2.8
149;2.84
149.25;2.76
149.5;2.76
149.75;2.76
150;2.84
150.25;2.72
150.5;2.76
150.75;2.76
151;2.84
151.25;2.72
151.5;2.76
151.75;2.76
152;2.8
152.25;2.72
152.5;2.76
152.75;2.76
153;2.8
153.25;2.72
153.5;2.76
153.75;2.76
154;2.8
154.25;2.72
154.5;2.76
154.75;2.76
155;2.8
155.25;2.72
155.5;2.76
155.75;2.76
156;2.8
156.25;2.68
156.5;2.76
156.75;2.76
157;2.76
157.25;2.68
157.5;2.72
157.75;2.72
158;2.76
158.25;2.68
158.5;2.72
158.75;2.72
159;2.76
159.25;2.68
159.5;2.72
159.75;2.72
160;2.76
160.25;2.68
160.5;2.72
160.75;2.72
161;2.76
161.25;2.68
161.5;2.68
161.75;2.68
162;2.76
162.25;2.64
162.5;2.68
162.75;2.72
163;2.72
163.25;2.64
163.5;2.68
163.75;2.68
164;2.72
164.25;2.64
164.5;2.68
164.75;2.64
165;2.72
165.25;2.64
165.5;2.68
165.75;2.68
166;2.72
166.25;2.64
166.5;2.68
166.75;2.68
167;2.72
167.25;2.6
167.5;2.68
167.75;2.64
168;2.72
168.25;2.6
168.5;2.64
168.75;2.68
169;2.68
169.25;2.6
169.5;2.64
169.75;2.64
170;2.68
170.25;2.6
170.5;2.64
170.75;2.64
171;2.68
171.25;2.6
171.5;2.64
171.75;2.6
172;2.68
172.25;2.56
172.5;2.6
172.75;2.64
173;2.68
173.25;2.56
173.5;2.6
173.75;2.6
174;2.64
174.25;2.56
174.5;2.6
174.75;2.64
175;2.64
175.25;2.56
175.5;2.6
175.75;2.6
176;2.64
176.25;2.56
176.5;2.6
176.75;2.6
177;2.64
177.25;2.56
177.5;2.6
177.75;2.6
178;2.64
178.25;2.52
178.5;2.56
178.75;2.56
179;2.6
179.25;2.52
179.5;2.56
179.75;2.56
180;2.6
180.25;2.52
180.5;2.56
180.75;2.56
181;2.6
181.25;2.52
181.5;2.56
181.75;2.56
182;2.6
182.25;2.48
182.5;2.56
182.75;2.56
183;2.6
183.25;2.52
183.5;2.52
183.75;2.52
184;2.6
184.25;2.48
184.5;2.52
184.75;2.52
185;2.56
