# Oscilloscope file ./20201025_013818.bin
# Channel 1
Time / s;Voltage / V
0;0.04
0.25;0.08
0.5;0
0.75;0.04
1;0.04
1.25;0.08
1.5;0
1.75;0
2;0
2.25;0.08
2.5;0
2.75;0.04
3;0.04
3.25;0.08
3.5;0
3.75;0.04
4;0.04
4.25;0.08
4.5;0
4.75;0.04
5;0
5.25;0.08
5.5;0
5.75;0.04
6;0.04
6.25;0.08
6.5;0
6.75;0.04
7;0.04
7.25;0.08
7.5;0
7.75;0.04
8;0.04
8.25;0.08
8.5;0
8.75;0.04
9;0.04
9.25;0.08
9.5;0
9.75;0
10;0.04
10.25;0.08
10.5;0
10.75;0.04
11;0.04
11.25;0.08
11.5;0
11.75;0.04
12;0.04
12.25;0.08
12.5;0
12.75;0.04
13;0.04
13.25;0.08
13.5;0
13.75;0.04
14;0.04
14.25;0.08
14.5;0
14.75;0.04
15;0.04
15.25;0.08
15.5;0
15.75;0.04
16;0.04
16.25;0.08
16.5;0
16.75;0.04
17;0.04
17.25;0.08
17.5;0
17.75;0.08
18;0.04
18.25;0.08
18.5;0
18.75;0.04
19;0.04
19.25;0.12
19.5;0
19.75;0.08
20;0.08
20.25;0.12
20.5;0
20.75;0.08
21;0.08
21.25;0.12
21.5;0.04
21.75;0.04
22;0.08
22.25;0.12
22.5;0.04
22.75;0.08
23;0.08
23.25;0.12
23.5;0.04
23.75;0.08
24;0.08
24.25;0.12
24.5;0.04
24.75;0.12
25;0.08
25.25;0.16
25.5;0.04
25.75;0.12
26;0.12
26.25;0.16
26.5;0.04
26.75;0.12
27;0.12
27.25;0.16
27.5;0.08
27.75;0.12
28;0.12
28.25;0.16
28.5;0.08
28.75;0.12
29;0.12
29.25;0.16
29.5;0.08
29.75;0.12
30;0.12
30.25;0.2
30.5;0.08
30.75;0.16
31;0.16
31.25;0.2
31.5;0.08
31.75;0.16
32;0.12
32.25;0.2
32.5;0.12
32.75;0.16
33;0.16
33.25;0.2
33.5;0.12
33.75;0.2
34;0.16
34.25;0.2
34.5;0.12
34.75;0.2
35;0.16
35.25;0.2
35.5;0.12
35.75;0.2
36;0.2
36.25;0.24
36.5;0.12
36.75;0.2
37;0.16
37.25;0.24
37.5;0.16
37.75;0.2
38;0.2
38.25;0.24
38.5;0.16
38.75;0.2
39;0.2
39.25;0.24
39.5;0.16
39.75;0.2
40;0.2
40.25;0.24
40.5;0.16
40.75;0.2
41;0.2
41.25;0.24
41.5;0.16
41.75;0.24
42;0.24
42.25;0.28
42.5;0.16
42.75;0.2
43;0.2
43.25;0.28
43.5;0.2
43.75;0.24
44;0.2
44.25;0.28
44.5;0.2
44.75;0.24
45;0.24
45.25;0.28
45.5;0.2
45.75;0.28
46;0.24
46.25;0.32
46.5;0.2
46.75;0.24
47;0.24
47.25;0.32
47.5;0.2
47.75;0.28
48;0.28
48.25;0.32
48.5;0.2
48.75;0.28
49;0.28
49.25;0.32
49.5;0.24
49.75;0.28
50;0.28
50.25;0.32
50.5;0.24
50.75;0.28
51;0.28
51.25;0.32
51.5;0.24
51.75;0.28
52;0.28
52.25;0.32
52.5;0.24
52.75;0.32
53;0.28
53.25;0.36
53.5;0.24
53.75;0.32
54;0.32
54.25;0.36
54.5;0.28
54.75;0.32
55;0.32
55.25;0.36
55.5;0.28
55.75;0.32
56;0.32
56.25;0.36
56.5;0.28
56.75;0.32
57;0.32
57.25;0.36
57.5;0.28
57.75;0.32
58;0.36
58.25;0.4
58.5;0.28
58.75;0.32
59;0.36
59.25;0.4
59.5;0.28
59.75;0.32
60;0.36
60.25;0.4
60.5;0.32
60.75;0.36
61;0.36
61.25;0.4
61.5;0.32
61.75;0.36
62;0.36
62.25;0.4
62.5;0.32
62.75;0.36
63;0.36
63.25;0.4
63.5;0.32
63.75;0.4
64;0.4
64.25;0.44
64.5;0.32
64.75;0.4
65;0.36
65.25;0.44
65.5;0.36
65.75;0.4
66;0.4
66.25;0.44
66.5;0.36
66.75;0.4
67;0.4
67.25;0.44
67.5;0.36
67.75;0.44
68;0.4
68.25;0.44
68.5;0.36
68.75;0.44
69;0.4
69.25;0.48
69.5;0.36
69.75;0.4
70;0.44
70.25;0.48
70.5;0.36
70.75;0.44
71;0.44
71.25;0.48
71.5;0.4
71.75;0.44
72;0.44
72.25;0.48
72.5;0.4
72.75;0.44
73;0.44
73.25;0.48
73.5;0.4
73.75;0.44
74;0.48
74.25;0.48
74.5;0.4
74.75;0.48
75;0.48
75.25;0.52
75.5;0.4
75.75;0.44
76;0.48
76.25;0.52
76.5;0.44
76.75;0.48
77;0.48
77.25;0.52
77.5;0.44
77.75;0.48
78;0.48
78.25;0.52
78.5;0.44
78.75;0.48
79;0.48
79.25;0.52
79.5;0.44
79.75;0.48
80;0.48
80.25;0.56
80.5;0.44
80.75;0.52
81;0.52
81.25;0.56
81.5;0.44
81.75;0.52
82;0.48
82.25;0.56
82.5;0.48
82.75;0.52
83;0.48
83.25;0.56
83.5;0.48
83.75;0.52
84;0.52
84.25;0.56
84.5;0.48
84.75;0.52
85;0.52
85.25;0.56
85.5;0.48
85.75;0.56
86;0.52
86.25;0.6
86.5;0.48
86.75;0.56
87;0.56
87.25;0.6
87.5;0.52
87.75;0.56
88;0.56
88.25;0.6
88.5;0.52
88.75;0.56
89;0.56
89.25;0.6
89.5;0.52
89.75;0.56
90;0.56
90.25;0.6
90.5;0.52
90.75;0.56
91;0.56
91.25;0.6
91.5;0.52
91.75;0.56
92;0.6
92.25;0.64
92.5;0.52
92.75;0.56
93;0.56
93.25;0.64
93.5;0.56
93.75;0.6
94;0.6
94.25;0.64
94.5;0.56
94.75;0.6
95;0.6
95.25;0.64
95.5;0.56
95.75;0.6
96;0.6
96.25;0.64
96.5;0.56
96.75;0.6
97;0.64
97.25;0.68
97.5;0.56
97.75;0.6
98;0.64
98.25;0.68
98.5;0.6
98.75;0.64
99;0.6
99.25;0.68
99.5;0.6
99.75;0.6
100;0.64
100.25;0.68
100.5;0.6
100.75;0.64
101;0.68
101.25;0.68
101.5;0.6
101.75;0.68
102;0.64
102.25;0.68
102.5;0.6
102.75;0.68
103;0.68
103.25;0.72
103.5;0.6
103.75;0.68
104;0.68
104.25;0.72
104.5;0.64
104.75;0.68
105;0.68
105.25;0.72
105.5;0.64
105.75;0.68
106;0.72
106.25;0.72
106.5;0.64
106.75;0.72
107;0.68
107.25;0.72
107.5;0.64
107.75;0.68
108;0.68
108.25;0.72
108.5;0.64
108.75;0.72
109;0.72
109.25;0.76
109.5;0.68
109.75;0.68
110;0.72
110.25;0.76
110.5;0.68
110.75;0.72
111;0.68
111.25;0.76
111.5;0.68
111.75;0.72
112;0.72
112.25;0.76
112.5;0.68
112.75;0.72
113;0.72
113.25;0.76
113.5;0.68
113.75;0.72
114;0.76
114.25;0.8
114.5;0.68
114.75;0.76
115;0.72
115.25;0.8
115.5;0.72
115.75;0.76
116;0.76
116.25;0.8
116.5;0.72
116.75;0.76
117;0.76
117.25;0.8
117.5;0.72
117.75;0.76
118;0.76
118.25;0.8
118.5;0.72
118.75;0.76
119;0.76
119.25;0.84
119.5;0.72
119.75;0.76
120;0.76
120.25;0.84
120.5;0.76
120.75;0.8
121;0.8
121.25;0.84
121.5;0.76
121.75;0.8
122;0.8
122.25;0.84
122.5;0.76
122.75;0.8
123;0.8
123.25;0.84
123.5;0.76
123.75;0.8
124;0.8
124.25;0.84
124.5;0.76
124.75;0.8
125;0.8
125.25;0.88
125.5;0.76
125.75;0.84
126;0.8
126.25;0.88
126.5;0.8
126.75;0.84
127;0.8
127.25;0.88
127.5;0.8
127.75;0.84
128;0.84
128.25;0.88
128.5;0.8
128.75;0.84
129;0.84
129.25;0.88
129.5;0.8
129.75;0.84
130;0.84
130.25;0.92
130.5;0.8
130.75;0.84
131;0.84
131.25;0.92
131.5;0.8
131.75;0.88
132;0.84
132.25;0.92
132.5;0.84
132.75;0.88
133;0.88
133.25;0.92
133.5;0.84
133.75;0.88
134;0.88
134.25;0.92
134.5;0.84
134.75;0.88
135;0.88
135.25;0.92
135.5;0.84
135.75;0.88
136;0.88
136.25;0.96
136.5;0.84
136.75;0.92
137;0.88
137.25;0.96
137.5;0.84
137.75;0.92
138;0.92
138.25;0.96
138.5;0.88
138.75;0.92
139;0.92
139.25;0.96
139.5;0.88
139.75;0.96
140;0.92
140.25;0.96
140.5;0.88
140.75;0.92
141;0.92
141.25;1
141.5;0.88
141.75;0.92
142;0.92
142.25;1
142.5;0.88
142.75;0.96
143;0.96
143.25;1
143.5;0.92
143.75;0.96
144;0.96
144.25;1
144.5;0.92
144.75;0.96
145;0.96
145.25;1
145.5;0.92
145.75;0.96
146;0.96
146.25;1
146.5;0.92
146.75;1
147;0.96
147.25;1.04
147.5;0.92
147.75;0.96
148;1
148.25;1.04
148.5;0.92
148.75;1
149;0.96
149.25;1.04
149.5;0.92
149.75;1
150;1
150.25;1.04
150.5;0.96
150.75;1
151;1
151.25;1.04
151.5;0.96
151.75;1
152;1
152.25;1.04
152.5;0.96
152.75;1.04
153;1
153.25;1.08
153.5;0.96
153.75;1
154;1
154.25;1.08
154.5;1
154.75;1.04
155;1.04
155.25;1.08
155.5;1
155.75;1.04
156;1.04
156.25;1.08
156.5;1
156.75;1.04
157;1.04
157.25;1.08
157.5;1
157.75;1.04
158;1.04
158.25;1.08
158.5;1
158.75;1.08
159;1.08
159.25;1.12
159.5;1
159.75;1.08
160;1.08
160.25;1.12
160.5;1.04
160.75;1.08
161;1.08
161.25;1.12
161.5;1.04
161.75;1.08
162;1.08
162.25;1.12
162.5;1.04
162.75;1.12
163;1.08
163.25;1.12
163.5;1.04
163.75;1.08
164;1.08
164.25;1.16
164.5;1.04
164.75;1.12
165;1.12
165.25;1.16
165.5;1.08
165.75;1.12
166;1.12
166.25;1.16
166.5;1.08
166.75;1.12
167;1.12
167.25;1.16
167.5;1.08
167.75;1.12
168;1.12
168.25;1.16
168.5;1.08
168.75;1.12
169;1.12
169.25;1.16
169.5;1.08
169.75;1.16
170;1.16
170.25;1.2
170.5;1.08
170.75;1.16
171;1.16
171.25;1.2
171.5;1.12
171.75;1.12
172;1.12
172.25;1.2
172.5;1.12
172.75;1.16
173;1.16
173.25;1.2
173.5;1.12
173.75;1.16
174;1.16
174.25;1.2
174.5;1.12
174.75;1.2
175;1.2
175.25;1.2
175.5;1.12
175.75;1.16
176;1.16
176.25;1.24
176.5;1.16
176.75;1.2
177;1.2
177.25;1.24
177.5;1.16
177.75;1.2
178;1.2
178.25;1.24
178.5;1.12
178.75;1.2
179;1.2
179.25;1.24
179.5;1.16
179.75;1.2
180;1.2
180.25;1.24
180.5;1.16
180.75;1.24
181;1.2
181.25;1.28
181.5;1.16
181.75;1.24
182;1.2
182.25;1.28
182.5;1.2
182.75;1.2
183;1.24
183.25;1.28
183.5;1.2
183.75;1.24
184;1.24
184.25;1.28
184.5;1.2
184.75;1.24
185;1.24
185.25;1.28
185.5;1.2
185.75;1.24
186;1.24
186.25;1.28
186.5;1.2
186.75;1.24
187;1.28
187.25;1.32
187.5;1.2
187.75;1.28
188;1.28
188.25;1.32
188.5;1.24
188.75;1.28
189;1.24
189.25;1.32
189.5;1.24
189.75;1.28
190;1.28
190.25;1.32
190.5;1.24
190.75;1.28
191;1.28
191.25;1.32
191.5;1.24
191.75;1.32
192;1.28
192.25;1.36
192.5;1.24
192.75;1.32
193;1.28
193.25;1.36
193.5;1.28
193.75;1.32
194;1.28
194.25;1.36
194.5;1.28
194.75;1.32
195;1.32
195.25;1.36
195.5;1.28
195.75;1.32
196;1.32
196.25;1.36
196.5;1.28
196.75;1.36
197;1.32
197.25;1.36
197.5;1.28
197.75;1.36
198;1.32
198.25;1.4
198.5;1.32
198.75;1.36
199;1.36
199.25;1.4
199.5;1.32
199.75;1.36
200;1.36
200.25;1.4
200.5;1.32
200.75;1.36
201;1.36
201.25;1.4
201.5;1.32
201.75;1.36
202;1.36
202.25;1.4
202.5;1.32
202.75;1.36
203;1.4
203.25;1.44
203.5;1.32
203.75;1.4
204;1.4
204.25;1.44
204.5;1.36
204.75;1.4
205;1.4
205.25;1.44
205.5;1.36
205.75;1.4
206;1.4
206.25;1.44
206.5;1.36
206.75;1.4
207;1.4
207.25;1.44
207.5;1.36
207.75;1.4
208;1.4
208.25;1.44
208.5;1.36
208.75;1.44
209;1.44
209.25;1.48
209.5;1.36
209.75;1.44
210;1.44
210.25;1.48
210.5;1.4
210.75;1.44
211;1.44
211.25;1.48
211.5;1.4
211.75;1.44
212;1.44
212.25;1.48
212.5;1.4
212.75;1.44
213;1.44
213.25;1.52
213.5;1.4
213.75;1.48
214;1.44
214.25;1.52
214.5;1.4
214.75;1.48
215;1.44
215.25;1.52
